Project Metrics Summary

Generated: 2026-03-22 17:26:32
Source scan: results/**/metrics_table.csv and results/**/*summary.csv
Single-run result rows: 269
Multi-seed summary rows: 24
Note: Some comparison tables do not contain P95/P99; those cells are marked as -.

1. Key Multi-seed Results On phase4a_shift004_linewidth_l3

| Scenario | Summary | Method | RMSE_mean+-std | MAE_mean+-std | P95_mean+-std | P99_mean+-std | R2_mean+-std | Source |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus | CNN+C2FRefineV2 | - | 0.01363716 | 0.01052148 | 0.02660498 | 0.03885153 | 0.99776572 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware | C2Fv2-Coarse(BaselineCNN) | - | 0.01323813 | 0.01017639 | 0.02557017 | 0.03709696 | 0.99789453 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware | CNN | - | 0.01323813 | 0.01017639 | 0.02557017 | 0.03709696 | 0.99789453 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware | CNN+C2FRefineV2 | - | 0.01319393 | 0.01014998 | 0.02547051 | 0.03674493 | 0.99790859 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated | C2Fv2-Coarse(BaselineCNN) | - | 0.01323813 | 0.01017639 | 0.02557017 | 0.03709696 | 0.99789453 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated | CNN | - | 0.01323813 | 0.01017639 | 0.02557017 | 0.03709696 | 0.99789453 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated | CNN+C2FRefineV2 | - | 0.01316811 | 0.01010600 | 0.02535293 | 0.03701248 | 0.99791676 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed42 | C2Fv2-Coarse(BaselineCNN) | 42 | 0.01323813 | 0.01017639 | 0.02557017 | 0.03709696 | 0.99789453 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed42 | CNN | 42 | 0.01323813 | 0.01017639 | 0.02557017 | 0.03709696 | 0.99789453 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed42 | CNN+C2FRefineV2 | 42 | 0.01316811 | 0.01010600 | 0.02535293 | 0.03701248 | 0.99791676 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed43 | C2Fv2-Coarse(BaselineCNN) | 43 | 0.01400813 | 0.01062208 | 0.02695126 | 0.04318486 | 0.99764252 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed43 | CNN | 43 | 0.01400813 | 0.01062208 | 0.02695126 | 0.04318486 | 0.99764252 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed43 | CNN+C2FRefineV2 | 43 | 0.01389013 | 0.01052091 | 0.02677051 | 0.04205082 | 0.99768203 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed44 | C2Fv2-Coarse(BaselineCNN) | 44 | 0.01348343 | 0.01036250 | 0.02647938 | 0.03802189 | 0.99781579 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed44 | CNN | 44 | 0.01348343 | 0.01036250 | 0.02647938 | 0.03802189 | 0.99781579 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed44 | CNN+C2FRefineV2 | 44 | 0.01334200 | 0.01021537 | 0.02637972 | 0.03805438 | 0.99786139 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed45 | C2Fv2-Coarse(BaselineCNN) | 45 | 0.01364668 | 0.01057461 | 0.02538501 | 0.03829530 | 0.99776256 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed45 | CNN | 45 | 0.01364668 | 0.01057461 | 0.02538501 | 0.03829530 | 0.99776256 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed45 | CNN+C2FRefineV2 | 45 | 0.01351080 | 0.01044338 | 0.02557501 | 0.03742025 | 0.99780691 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed46 | C2Fv2-Coarse(BaselineCNN) | 46 | 0.01363996 | 0.01050204 | 0.02692594 | 0.03951936 | 0.99776477 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed46 | CNN | 46 | 0.01363996 | 0.01050204 | 0.02692594 | 0.03951936 | 0.99776477 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed46 | CNN+C2FRefineV2 | 46 | 0.01348251 | 0.01035227 | 0.02636213 | 0.03892901 | 0.99781609 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed42 | C2Fv2-Coarse(BaselineCNN) | 42 | 0.01323813 | 0.01017639 | 0.02557017 | 0.03709696 | 0.99789453 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed42 | CNN | 42 | 0.01323813 | 0.01017639 | 0.02557017 | 0.03709696 | 0.99789453 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed42 | CNN+C2FRefineV2 | 42 | 0.01319393 | 0.01014998 | 0.02547051 | 0.03674493 | 0.99790859 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed43 | C2Fv2-Coarse(BaselineCNN) | 43 | 0.01400813 | 0.01062208 | 0.02695126 | 0.04318486 | 0.99764252 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed43 | CNN | 43 | 0.01400813 | 0.01062208 | 0.02695126 | 0.04318486 | 0.99764252 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed43 | CNN+C2FRefineV2 | 43 | 0.01394750 | 0.01059349 | 0.02754437 | 0.04174137 | 0.99766284 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed43/metrics_table.csv |
