Project Metrics Summary

Generated: 2026-03-22 17:26:32
Source scan: results/**/metrics_table.csv and results/**/*summary.csv
Single-run result rows: 269
Multi-seed summary rows: 24
Note: Some comparison tables do not contain P95/P99; those cells are marked as -.

1. Key Multi-seed Results On phase4a_shift004_linewidth_l3

| Scenario | Summary | Method | RMSE_mean+-std | MAE_mean+-std | P95_mean+-std | P99_mean+-std | R2_mean+-std | Source |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_A | A_CNN_1ch | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_A/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_B | B_CNN_3ch_deriv | - | 0.01741562 | 0.01335532 | 0.03541205 | 0.05143173 | 0.99635607 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_B/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_C | C_NADNetV1_3ch_noaux | - | 0.01628844 | 0.01258888 | 0.03207978 | 0.04623046 | 0.99681246 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_C/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_D | D_NADNetV1_3ch_aux | - | 0.01547444 | 0.01205974 | 0.03005220 | 0.04055801 | 0.99712312 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_D/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_D_tailaware | D_NADNetV1_3ch_aux_tailaware | - | 0.01496075 | 0.01163283 | 0.02952109 | 0.04129965 | 0.99731094 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_D_tailaware/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_E | E_NADNetV1_1ch_noaux | - | 0.01417627 | 0.01104419 | 0.02759817 | 0.03873904 | 0.99758554 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_E/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_F | F_NADNetV1_1ch_aux | - | 0.01459279 | 0.01135430 | 0.02827763 | 0.03952894 | 0.99744159 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_F/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G | G_CNN_2ch_raw_d1 | - | 0.01366070 | 0.01048584 | 0.02603306 | 0.03928739 | 0.99775797 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_seed42 | G_CNN_2ch_raw_d1 | 42 | 0.01366070 | 0.01048584 | 0.02603306 | 0.03928739 | 0.99775797 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_seed43 | G_CNN_2ch_raw_d1 | 43 | 0.01393370 | 0.01085947 | 0.02594127 | 0.04074820 | 0.99766749 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_seed44 | G_CNN_2ch_raw_d1 | 44 | 0.01404894 | 0.01091979 | 0.02682784 | 0.03885738 | 0.99762875 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_seed45 | G_CNN_2ch_raw_d1 | 45 | 0.01418688 | 0.01097983 | 0.02678554 | 0.04068835 | 0.99758196 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_seed46 | G_CNN_2ch_raw_d1 | 46 | 0.01402930 | 0.01084691 | 0.02663013 | 0.03936324 | 0.99763536 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailaware | G_CNN_2ch_raw_d1_tailaware | - | 0.01399355 | 0.01077596 | 0.02690049 | 0.03913663 | 0.99764740 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailaware/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailgrid_tau0p008_lam1p5 | G_tail_tau0p008_lam1p5 | - | 0.01407921 | 0.01080961 | 0.02780732 | 0.03905193 | 0.99761850 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailgrid_tau0p008_lam1p5/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailgrid_tau0p008_lam2p0 | G_tail_tau0p008_lam2p0 | - | 0.01348220 | 0.01024852 | 0.02618830 | 0.03937295 | 0.99781621 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailgrid_tau0p008_lam2p0/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailgrid_tau0p008_lam3p0 | G_tail_tau0p008_lam3p0 | - | 0.01371647 | 0.01054785 | 0.02629047 | 0.03918878 | 0.99773961 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailgrid_tau0p008_lam3p0/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailgrid_tau0p012_lam1p5 | G_tail_tau0p012_lam1p5 | - | 0.01538643 | 0.01187641 | 0.02981140 | 0.04322640 | 0.99715573 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailgrid_tau0p012_lam1p5/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailgrid_tau0p012_lam2p0 | G_tail_tau0p012_lam2p0 | - | 0.01350867 | 0.01040064 | 0.02673703 | 0.03719100 | 0.99780762 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailgrid_tau0p012_lam2p0/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailgrid_tau0p012_lam3p0 | G_tail_tau0p012_lam3p0 | - | 0.01475143 | 0.01127864 | 0.02936657 | 0.04323897 | 0.99738568 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailgrid_tau0p012_lam3p0/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailgrid_tau0p01_lam1p5 | G_tail_tau0p01_lam1p5 | - | 0.01421748 | 0.01099817 | 0.02795465 | 0.04031327 | 0.99757147 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailgrid_tau0p01_lam1p5/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailgrid_tau0p01_lam2p0 | G_tail_tau0p01_lam2p0 | - | 0.01451310 | 0.01113802 | 0.02801611 | 0.04296874 | 0.99746948 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailgrid_tau0p01_lam2p0/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailgrid_tau0p01_lam3p0 | G_tail_tau0p01_lam3p0 | - | 0.01399355 | 0.01077596 | 0.02690049 | 0.03913663 | 0.99764740 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailgrid_tau0p01_lam3p0/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailhard_ltau0p008_lam2p0_a0p5_ht0p012 | G_tailhard_ltau0p008_lam2p0_a0p5_ht0p012 | - | 0.01481890 | 0.01149495 | 0.02917124 | 0.04081691 | 0.99736172 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailhard_ltau0p008_lam2p0_a0p5_ht0p012/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailhard_ltau0p008_lam2p0_a0p5_ht0p015 | G_tailhard_ltau0p008_lam2p0_a0p5_ht0p015 | - | 0.01347403 | 0.01027534 | 0.02559817 | 0.03790637 | 0.99781883 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailhard_ltau0p008_lam2p0_a0p5_ht0p015/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailhard_ltau0p008_lam2p0_a0p5_ht0p015_seed42 | G_tailhard_ltau0p008_lam2p0_a0p5_ht0p015 | 42 | 0.01347403 | 0.01027534 | 0.02559817 | 0.03790637 | 0.99781883 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailhard_ltau0p008_lam2p0_a0p5_ht0p015_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailhard_ltau0p008_lam2p0_a0p5_ht0p015_seed43 | G_tailhard_ltau0p008_lam2p0_a0p5_ht0p015 | 43 | 0.01452474 | 0.01135471 | 0.02793643 | 0.03985095 | 0.99746537 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailhard_ltau0p008_lam2p0_a0p5_ht0p015_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailhard_ltau0p008_lam2p0_a0p5_ht0p015_seed44 | G_tailhard_ltau0p008_lam2p0_a0p5_ht0p015 | 44 | 0.01353638 | 0.01043661 | 0.02601239 | 0.03615646 | 0.99779862 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailhard_ltau0p008_lam2p0_a0p5_ht0p015_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailhard_ltau0p008_lam2p0_a0p5_ht0p015_seed45 | G_tailhard_ltau0p008_lam2p0_a0p5_ht0p015 | 45 | 0.01424569 | 0.01094775 | 0.02719259 | 0.04057265 | 0.99756187 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailhard_ltau0p008_lam2p0_a0p5_ht0p015_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailhard_ltau0p008_lam2p0_a0p5_ht0p015_seed46 | G_tailhard_ltau0p008_lam2p0_a0p5_ht0p015 | 46 | 0.01457636 | 0.01119010 | 0.02820735 | 0.04162765 | 0.99744737 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailhard_ltau0p008_lam2p0_a0p5_ht0p015_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailhard_ltau0p008_lam2p0_a0p75_ht0p012 | G_tailhard_ltau0p008_lam2p0_a0p75_ht0p012 | - | 0.01404712 | 0.01071430 | 0.02810818 | 0.03825397 | 0.99762934 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailhard_ltau0p008_lam2p0_a0p75_ht0p012/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailhard_ltau0p008_lam2p0_a0p75_ht0p015 | G_tailhard_ltau0p008_lam2p0_a0p75_ht0p015 | - | 0.01351922 | 0.01035887 | 0.02661143 | 0.03757176 | 0.99780416 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailhard_ltau0p008_lam2p0_a0p75_ht0p015/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailhard_ltau0p012_lam2p0_a0p5_ht0p012 | G_tailhard_ltau0p012_lam2p0_a0p5_ht0p012 | - | 0.01388423 | 0.01072714 | 0.02645903 | 0.03952397 | 0.99768400 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailhard_ltau0p012_lam2p0_a0p5_ht0p012/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailhard_ltau0p012_lam2p0_a0p5_ht0p015 | G_tailhard_ltau0p012_lam2p0_a0p5_ht0p015 | - | 0.01428054 | 0.01091792 | 0.02741168 | 0.03969272 | 0.99754989 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailhard_ltau0p012_lam2p0_a0p5_ht0p015/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailhard_ltau0p012_lam2p0_a0p75_ht0p012 | G_tailhard_ltau0p012_lam2p0_a0p75_ht0p012 | - | 0.01365230 | 0.01046090 | 0.02546442 | 0.03833895 | 0.99776071 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailhard_ltau0p012_lam2p0_a0p75_ht0p012/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailhard_ltau0p012_lam2p0_a0p75_ht0p012_seed42 | G_tailhard_ltau0p012_lam2p0_a0p75_ht0p012 | 42 | 0.01365230 | 0.01046090 | 0.02546442 | 0.03833895 | 0.99776071 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailhard_ltau0p012_lam2p0_a0p75_ht0p012_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailhard_ltau0p012_lam2p0_a0p75_ht0p012_seed43 | G_tailhard_ltau0p012_lam2p0_a0p75_ht0p012 | 43 | 0.01465494 | 0.01126697 | 0.02863309 | 0.04103756 | 0.99741977 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailhard_ltau0p012_lam2p0_a0p75_ht0p012_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailhard_ltau0p012_lam2p0_a0p75_ht0p012_seed44 | G_tailhard_ltau0p012_lam2p0_a0p75_ht0p012 | 44 | 0.01351519 | 0.01034137 | 0.02501219 | 0.04193689 | 0.99780548 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailhard_ltau0p012_lam2p0_a0p75_ht0p012_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailhard_ltau0p012_lam2p0_a0p75_ht0p012_seed45 | G_tailhard_ltau0p012_lam2p0_a0p75_ht0p012 | 45 | 0.01381244 | 0.01067682 | 0.02741814 | 0.03693011 | 0.99770790 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailhard_ltau0p012_lam2p0_a0p75_ht0p012_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailhard_ltau0p012_lam2p0_a0p75_ht0p012_seed46 | G_tailhard_ltau0p012_lam2p0_a0p75_ht0p012 | 46 | 0.01400830 | 0.01087387 | 0.02701150 | 0.03918545 | 0.99764246 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailhard_ltau0p012_lam2p0_a0p75_ht0p012_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_tailhard_ltau0p012_lam2p0_a0p75_ht0p015 | G_tailhard_ltau0p012_lam2p0_a0p75_ht0p015 | - | 0.01465929 | 0.01118289 | 0.02921022 | 0.04082133 | 0.99741822 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_tailhard_ltau0p012_lam2p0_a0p75_ht0p015/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_twostage | G_CNN_2ch_raw_d1_twostage | - | 0.01401729 | 0.01080885 | 0.02720126 | 0.03972768 | 0.99763942 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_twostage/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_tailaware | CNN+TailAwareLoss | - | 0.01323813 | 0.01017639 | 0.02557017 | 0.03709696 | 0.99789453 | results/phase4a_shift004_linewidth_l3/method_enhance_tailaware/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_tailaware_baseline | CNN | - | 0.06503676 | 0.04929728 | 0.12712137 | 0.20560718 | 0.94918275 | results/phase4a_shift004_linewidth_l3/method_enhance_tailaware_baseline/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_tailaware_baseline_seed42 | CNN | 42 | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_tailaware_baseline_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_tailaware_baseline_seed43 | CNN | 43 | 0.01400691 | 0.01071490 | 0.02737987 | 0.04069436 | 0.99764287 | results/phase4a_shift004_linewidth_l3/method_enhance_tailaware_baseline_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_tailaware_baseline_seed44 | CNN | 44 | 0.01438614 | 0.01100872 | 0.02859798 | 0.04353264 | 0.99751353 | results/phase4a_shift004_linewidth_l3/method_enhance_tailaware_baseline_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_tailaware_baseline_seed45 | CNN | 45 | 0.01298287 | 0.01001539 | 0.02511661 | 0.03562651 | 0.99797493 | results/phase4a_shift004_linewidth_l3/method_enhance_tailaware_baseline_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_tailaware_baseline_seed46 | CNN | 46 | 0.01312960 | 0.01018609 | 0.02537398 | 0.03739524 | 0.99792892 | results/phase4a_shift004_linewidth_l3/method_enhance_tailaware_baseline_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_tailaware_hard | CNN+TailAware+HardWeight | - | 0.01447156 | 0.01117076 | 0.02852043 | 0.04169144 | 0.99748391 | results/phase4a_shift004_linewidth_l3/method_enhance_tailaware_hard/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_tailaware_hard_seed42 | CNN+TailAware+HardWeight | 42 | 0.01447156 | 0.01117076 | 0.02852043 | 0.04169144 | 0.99748391 | results/phase4a_shift004_linewidth_l3/method_enhance_tailaware_hard_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_tailaware_hard_seed43 | CNN+TailAware+HardWeight | 43 | 0.01386974 | 0.01062207 | 0.02722950 | 0.03992528 | 0.99768883 | results/phase4a_shift004_linewidth_l3/method_enhance_tailaware_hard_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_tailaware_hard_seed44 | CNN+TailAware+HardWeight | 44 | 0.01348747 | 0.01033047 | 0.02616343 | 0.03869130 | 0.99781448 | results/phase4a_shift004_linewidth_l3/method_enhance_tailaware_hard_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_tailaware_hard_seed45 | CNN+TailAware+HardWeight | 45 | 0.01296770 | 0.01005968 | 0.02382036 | 0.03484876 | 0.99797970 | results/phase4a_shift004_linewidth_l3/method_enhance_tailaware_hard_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_tailaware_hard_seed46 | CNN+TailAware+HardWeight | 46 | 0.01297012 | 0.00994854 | 0.02451482 | 0.03770848 | 0.99797893 | results/phase4a_shift004_linewidth_l3/method_enhance_tailaware_hard_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_tailaware_seed42 | CNN+TailAwareLoss | 42 | 0.01323813 | 0.01017639 | 0.02557017 | 0.03709696 | 0.99789453 | results/phase4a_shift004_linewidth_l3/method_enhance_tailaware_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_tailaware_seed43 | CNN+TailAwareLoss | 43 | 0.01400813 | 0.01062208 | 0.02695126 | 0.04318486 | 0.99764252 | results/phase4a_shift004_linewidth_l3/method_enhance_tailaware_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_tailaware_seed44 | CNN+TailAwareLoss | 44 | 0.01348343 | 0.01036250 | 0.02647938 | 0.03802189 | 0.99781579 | results/phase4a_shift004_linewidth_l3/method_enhance_tailaware_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_tailaware_seed45 | CNN+TailAwareLoss | 45 | 0.01364668 | 0.01057461 | 0.02538501 | 0.03829530 | 0.99776256 | results/phase4a_shift004_linewidth_l3/method_enhance_tailaware_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_tailaware_seed46 | CNN+TailAwareLoss | 46 | 0.01363996 | 0.01050204 | 0.02692594 | 0.03951936 | 0.99776477 | results/phase4a_shift004_linewidth_l3/method_enhance_tailaware_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | phase4b_compare | CNN | - | 0.01388817 | 0.01070953 | - | - | 0.99768269 | results/phase4a_shift004_linewidth_l3/phase4b_compare/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | phase4b_compare | CNN+SE | - | 0.01362905 | 0.01048869 | - | - | 0.99776834 | results/phase4a_shift004_linewidth_l3/phase4b_compare/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | phase4b_compare | Cross-correlation | - | 0.26818001 | 0.14247526 | - | - | 0.13593507 | results/phase4a_shift004_linewidth_l3/phase4b_compare/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | phase4b_compare | MLP | - | 0.01463621 | 0.01133541 | - | - | 0.99742633 | results/phase4a_shift004_linewidth_l3/phase4b_compare/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | phase4b_compare | Parametric fitting | - | 0.20863461 | 0.09588405 | - | - | 0.47704262 | results/phase4a_shift004_linewidth_l3/phase4b_compare/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s1_baseline_mse_seed42 | CNN | 42 | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s1_baseline_mse_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s1_tail_hard_a1p0_t0p008_seed42 | CNN+TailAware+HardWeight | 42 | 0.01296263 | 0.00989922 | 0.02490274 | 0.03553245 | 0.99798125 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s1_tail_hard_a1p0_t0p008_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s1_tail_hard_a1p0_t0p012_seed42 | CNN+TailAware+HardWeight | 42 | 0.01455595 | 0.01129563 | 0.02778682 | 0.04202743 | 0.99745446 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s1_tail_hard_a1p0_t0p012_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s1_tail_hard_a1p0_t0p01_seed42 | CNN+TailAware+HardWeight | 42 | 0.01286183 | 0.00992676 | 0.02456944 | 0.03664074 | 0.99801254 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s1_tail_hard_a1p0_t0p01_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s1_tail_hard_a1p25_t0p008_seed42 | CNN+TailAware+HardWeight | 42 | 0.01423318 | 0.01104908 | 0.02762411 | 0.03904733 | 0.99756610 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s1_tail_hard_a1p25_t0p008_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s1_tail_hard_a1p25_t0p012_seed42 | CNN+TailAware+HardWeight | 42 | 0.01298522 | 0.00996383 | 0.02478098 | 0.03686640 | 0.99797422 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s1_tail_hard_a1p25_t0p012_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s1_tail_hard_a1p25_t0p01_seed42 | CNN+TailAware+HardWeight | 42 | 0.01362800 | 0.01052736 | 0.02632855 | 0.03777077 | 0.99776870 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s1_tail_hard_a1p25_t0p01_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s1_tail_hard_a1p5_t0p008_seed42 | CNN+TailAware+HardWeight | 42 | 0.01295609 | 0.00996807 | 0.02501520 | 0.03680782 | 0.99798328 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s1_tail_hard_a1p5_t0p008_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s1_tail_hard_a1p5_t0p012_seed42 | CNN+TailAware+HardWeight | 42 | 0.01383658 | 0.01071382 | 0.02648787 | 0.03972729 | 0.99769986 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s1_tail_hard_a1p5_t0p012_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s1_tail_hard_a1p5_t0p01_seed42 | CNN+TailAware+HardWeight | 42 | 0.01447156 | 0.01117076 | 0.02852043 | 0.04169144 | 0.99748391 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s1_tail_hard_a1p5_t0p01_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s1_tail_only_seed42 | CNN+TailAwareLoss | 42 | 0.01323813 | 0.01017639 | 0.02557017 | 0.03709696 | 0.99789453 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s1_tail_only_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s2_baseline_mse_seed42 | CNN | 42 | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s2_baseline_mse_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s2_baseline_mse_seed43 | CNN | 43 | 0.01400691 | 0.01071490 | 0.02737987 | 0.04069436 | 0.99764287 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s2_baseline_mse_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s2_baseline_mse_seed44 | CNN | 44 | 0.01438614 | 0.01100872 | 0.02859798 | 0.04353264 | 0.99751353 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s2_baseline_mse_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s2_baseline_mse_seed45 | CNN | 45 | 0.01298287 | 0.01001539 | 0.02511661 | 0.03562651 | 0.99797493 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s2_baseline_mse_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s2_baseline_mse_seed46 | CNN | 46 | 0.01312960 | 0.01018609 | 0.02537398 | 0.03739524 | 0.99792892 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s2_baseline_mse_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s2_tail_hard_a1p0_t0p008_seed42 | CNN+TailAware+HardWeight | 42 | 0.01296263 | 0.00989922 | 0.02490274 | 0.03553245 | 0.99798125 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s2_tail_hard_a1p0_t0p008_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s2_tail_hard_a1p0_t0p008_seed43 | CNN+TailAware+HardWeight | 43 | 0.01361847 | 0.01050697 | 0.02610011 | 0.03892270 | 0.99777180 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s2_tail_hard_a1p0_t0p008_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | tail_grid_20260312_s2_tail_hard_a1p0_t0p008_seed44 | CNN+TailAware+HardWeight | 44 | 0.01321551 | 0.01018480 | 0.02522372 | 0.03602409 | 0.99790174 | results/phase4a_shift004_linewidth_l3/tail_grid_20260312_s2_tail_hard_a1p0_t0p008_seed44/metrics_table.csv |
