exp_idx,reference_shift_nm,baseline_shift_nm,proposed_shift_nm,baseline_abs_error_nm,proposed_abs_error_nm
37,-0.022984241875998082,-0.01753683015704155,-0.0192483589053154,0.005447411718956532,0.003735882970682683
38,0.007756017118203026,0.0086369588971138,0.0061067864298820496,0.0008809417789107741,0.0016492306883209764
39,0.0004257285276722875,0.00033733248710632324,-0.003139801323413849,8.839604056596424e-05,0.0035655298510861365
40,-0.01826960076068266,-0.01552390307188034,-0.01759973168373108,0.002745697688802319,0.0006698690769515805
41,-0.0019778290571097193,-0.000322490930557251,-0.0036514028906822205,0.0016553381265524683,0.0016735738335725012
42,-0.006047615584278752,0.0005496293306350708,-0.001916155219078064,0.006597244914913823,0.004131460365200688
43,-0.02631820982440314,-0.019284524023532867,-0.021782342344522476,0.007033685800870274,0.0045358674798806654
44,-0.004838865720834299,-0.003352448344230652,-0.006622597575187683,0.001486417376603647,0.0017837318543533843
45,-0.007217380833578751,-0.003921531140804291,-0.006232660263776779,0.00329584969277446,0.0009847205698019718
46,0.026154262940612405,0.02074810117483139,0.01791444420814514,0.005406161765781015,0.008239818732467263
47,-0.016408615097897802,-0.011915288865566254,-0.014300502836704254,0.004493326232331549,0.0021081122611935482
48,0.008891699104908909,0.007893681526184082,0.005018264055252075,0.000998017578724827,0.003873435049656834
49,0.019041621576778744,0.015840761363506317,0.013430804014205933,0.0032008602132724273,0.005610817562572812
50,0.008695638554065369,0.011437192559242249,0.008613884449005127,0.00274155400517688,8.175410506024161e-05
51,-0.013874317048728848,-0.012582547962665558,-0.014969255775213242,0.00129176908606329,0.0010949387264843936
52,-0.007798201177046018,-0.004876561462879181,-0.008096128702163696,0.002921639714166837,0.0002979275251176784
53,-0.010808567838337559,-0.004193723201751709,-0.007536046206951141,0.00661484463658585,0.0032725216313864176
54,0.02708220713781427,0.022167108952999115,0.02142181247472763,0.004915098184815156,0.00566039466308664
55,0.02882492258589025,0.022890083491802216,0.022339001297950745,0.005934839094088033,0.006485921287939504
56,-0.00022850136901371343,0.003801196813583374,0.0008268691599369049,0.004029698182597088,0.0010553705289506183
57,-0.01916848679664441,-0.016361277550458908,-0.018038451671600342,0.0028072092461855006,0.0011300351250440668
58,0.010477485662125793,0.00871916115283966,0.005112782120704651,0.0017583245092861327,0.0053647035414211425
59,-0.026425058978612158,-0.022020895034074783,-0.02434638887643814,0.0044041639445373745,0.002078670102174017
60,0.0006797549871448609,0.00451863557100296,0.00131988525390625,0.0038388805838580993,0.0006401302667613891
61,-0.006735989486604395,-0.0006024837493896484,-0.0037228092551231384,0.006133505737214747,0.0030131802314812568
62,0.008514490647656069,0.005392991006374359,0.0020899027585983276,0.00312149964128171,0.006424587889057741
63,0.020008064825590175,0.011908404529094696,0.009003423154354095,0.008099660296495479,0.01100464167123608
64,-0.002873494345861509,0.0028236359357833862,-0.0001460649073123932,0.005697130281644895,0.002727429438549116
65,0.01882667111732141,0.014340907335281372,0.012087538838386536,0.004485763782040037,0.006739132278934874
66,-0.014810044653332006,-0.015621073544025421,-0.018053904175758362,0.000811028890693415,0.0032438595224263556
67,-0.01411503815196086,-0.015645958483219147,-0.01719515770673752,0.0015309203312582863,0.003080119554776658
68,-0.024021915192812927,-0.018899336457252502,-0.020904622972011566,0.005122578735560424,0.0031172922208013605
69,-0.004123943400309106,0.0032256990671157837,-0.0002245381474494934,0.00734964246742489,0.0038994052528596125
70,-0.0004892347887654296,0.0015332698822021484,-0.0008409544825553894,0.002022504670967578,0.00035171969378995985
71,0.0017008579288644583,0.0008255690336227417,-0.001633182168006897,0.0008752888952417166,0.0033340400968713555
