position_m,amplitude
0.11166771611235159,0.015419278559747566
0.11207675536551037,0.014345504928992382
0.11248579461866919,0.015572125386613398
0.11289483387182796,0.015277484219565428
0.11330387312498677,0.014219139268150178
0.11371291237814557,0.015549753914708706
0.11412195163130436,0.015652403436145372
0.11453099088446317,0.015042535798451762
0.11494003013762197,0.016647310732068602
0.11534906939078075,0.016763418606549625
0.11575810864393955,0.013493115278050312
0.11616714789709837,0.018272558394303588
0.11657618715025715,0.01557654443354252
0.11698522640341595,0.01601819915597911
0.11739426565657475,0.01465781596420585
0.11780330490973354,0.014451952232557448
0.11821234416289234,0.01597344514488765
0.11862138341605113,0.01629642333494134
0.11903042266920992,0.015648506229683046
0.11943946192236872,0.014699268050025749
0.11984850117552753,0.014821744520094916
0.12025754042868632,0.017166136507659684
0.12066657968184512,0.01665704508705738
0.12107561893500393,0.0169668653286216
0.12148465818816272,0.015697640950537314
0.12189369744132152,0.015139722980220809
0.1223027366944803,0.01626515504579099
0.12271177594763912,0.016282713788663177
0.12312081520079789,0.01815035216597707
0.1235298544539567,0.01624212547873912
0.1239388937071155,0.016536095979215352
0.12434793296027428,0.01644129029646624
0.1247569722134331,0.016762969376837196
0.1251660114665919,0.015581102071793423
0.12557505071975067,0.017218070683930248
0.12598408997290947,0.015317113325753891
0.1263931292260683,0.016875142507786323
0.12680216847922707,0.016346224300945414
0.12721120773238587,0.015754608130467192
0.1276202469855447,0.01666974604615809
0.12802928623870347,0.01656195484986041
0.12843832549186227,0.016772313828202233
0.12884736474502106,0.016580445906232477
0.12925640399817986,0.015706443788191266
0.12966544325133866,0.016115623314895
0.13007448250449746,0.014920369607178494
0.13048352175765626,0.016829590865170916
0.13089256101081503,0.01692693500268713
0.13130160026397386,0.01545212591416265
0.13171063951713263,0.015531059551911003
0.13211967877029143,0.015351489713402697
0.13252871802345026,0.015954656994381387
0.13293775727660903,0.016059579226202124
0.13334679652976783,0.016760219821332835
0.13375583578292663,0.015875089002582804
0.13416487503608543,0.0153595735295359
0.1345739142892442,0.0167464692770407
0.134982953542403,0.016311508448527162
0.13539199279556183,0.01707892807441929
0.1358010320487206,0.018265737898819308
0.1362100713018794,0.016200065206541454
0.13661911055503823,0.016125399065088093
0.137028149808197,0.01663561048420705
0.1374371890613558,0.01608105651534337
0.1378462283145146,0.01576793994239522
0.1382552675676734,0.018301880526641452
0.1386643068208322,0.017369810975925458
0.139073346073991,0.017383631056604124
0.1394823853271498,0.016448224347428764
0.1398914245803086,0.017435879825466568
0.14030046383346736,0.017246051686647154
0.14070950308662616,0.017967327589522356
0.141118542339785,0.018162113060464984
0.14152758159294376,0.017492495898271166
0.14193662084610256,0.018597249402184407
0.1423456600992614,0.01662789823379245
0.14275469935242016,0.018256087558150672
0.14316373860557896,0.016799424158108513
0.14357277785873773,0.018914477933647478
0.14398181711189656,0.01785330292722737
0.14439085636505536,0.018513176715949906
0.14479989561821413,0.017811015275996076
0.14520893487137296,0.017479657010800773
0.14561797412453173,0.01787513612044667
0.14602701337769053,0.017876231904314924
0.14643605263084933,0.020105104092618602
0.14684509188400813,0.019176484305620353
0.14725413113716693,0.018667239975103504
0.14766317039032573,0.017101776459626614
0.14807220964348453,0.018890926042769277
0.14848124889664333,0.01795882857507351
0.14889028814980212,0.017895538299166954
0.1492993274029609,0.016843557878204237
0.14970836665611972,0.017572901921749956
0.15011740590927852,0.018245887688647724
0.1505264451624373,0.018621268920568097
0.15093548441559612,0.018946266659870783
0.1513445236687549,0.020680284746063517
0.1517535629219137,0.01811333730763101
0.1521626021750725,0.019077024213784974
0.1525716414282313,0.018525359493711185
0.1529806806813901,0.018095296035578537
0.15338971993454886,0.020711405299073768
0.15379875918770766,0.016652291652677037
0.1542077984408665,0.01921653715309818
0.15461683769402526,0.01692840094351838
0.15502587694718406,0.018357925563789988
0.1554349162003429,0.019710387015890733
0.15584395545350166,0.018387896464825998
0.15625299470666046,0.018581179012324856
0.15666203395981923,0.01797883894157559
0.15707107321297806,0.01923889939084157
0.15748011246613686,0.01869035159283574
0.15788915171929563,0.019123340518619285
0.15829819097245446,0.019793574432836
0.15870723022561325,0.019309265798016263
0.15911626947877203,0.018899106422429788
0.15952530873193083,0.017219008788934467
0.15993434798508965,0.018122805918486896
0.16034338723824842,0.018537491851341438
0.16075242649140722,0.01824521696327397
0.16116146574456602,0.018705502642101024
0.16157050499772482,0.01799906559212614
0.16197954425088362,0.017757159183998065
0.1623885835040424,0.020263234470569616
0.16279762275720122,0.01996601090969263
0.16320666201036002,0.017078563825426947
0.1636157012635188,0.019808224476553074
0.16402474051667762,0.019746673542213305
0.16443377976983642,0.018572705002818973
0.1648428190229952,0.019107938800264054
0.165251858276154,0.017841360684426853
0.1656608975293128,0.019580672590841286
0.1660699367824716,0.01942368488976715
0.1664789760356304,0.019893126702470346
0.1668880152887892,0.0200975967551921
0.167297054541948,0.02010170018893899
0.16770609379510676,0.020373521731386658
0.16811513304826556,0.017989713693078717
0.16852417230142439,0.01991348058075043
0.16893321155458316,0.01978549302856234
0.16934225080774196,0.019772005516872446
0.16975129006090078,0.020344748515160223
0.17016032931405956,0.02038986595064397
0.17056936856721838,0.021150047421722898
